word,count
voted,  223 
effort,  333 
safer,  604 
concerned,  496 
process,  1769 
outcome,  195 
want,  2993 
knowing,  119 
try,  250 
worked,  658 
disability,  355 
dementia,  104 
abuse,  303 
groups,  956 
doctors,  175 
majority,  312 
law,  1866 
unfortunately,  186 
ignored,  139 
nearly,  571 
asked,  577 
select,  943 
consideration,  211 
deputy,  551 
big,  1152 
changing,  421 
decided,  221 
substantial,  173 
death,  247 
disappointing,  210 
labour,  4190 
connor,  291 
closure,  233 
minor,  100 
technical,  201 
included,  549 
removing,  182 
disabilities,  144 
legal,  454 
terms,  563 
risks,  519 
final,  499 
crucial,  305 
vote,  513 
urge,  122 
proposed,  995 
votes,  120 
amendments,  127 
published,  230 
website,  654 
org,  279 
organisation,  496 
peoples,  114 
associate,  1012 
transitional,  142 
property,  723 
programmes,  807 
reform,  624 
ensures,  137 
warm,  204 
dry,  161 
accommodation,  269 
lessons,  104 
staying,  116 
allows,  302 
alternative,  208 
tenants,  268 
moved,  199 
experienced,  304 
facility,  491 
introducing,  248 
diversity,  163 
register,  201 
representation,  125 
thrilled,  121 
contract,  203 
replacement,  148 
river,  520 
component,  105 
roading,  358 
aimed,  270 
delivery,  498 
projects,  2558 
estimated,  380 
reaching,  173 
standards,  788 
horowhenua,  161 
efficient,  342 
travel,  670 
nzta,  534 
agricultural,  323 
plastic,  140 
recycling,  112 
scott,  613 
simpson,  585 
product,  227 
stewardship,  115 
irrigation,  255 
agriculture,  711 
horticulture,  223 
processes,  359 
products,  635 
farms,  252 
easy,  376 
practical,  406 
waste,  638 
collected,  155 
equivalent,  152 
environmental,  970 
aims,  264 
cycle,  320 
harm,  447 
promote,  290 
encourage,  1000 
producers,  117 
minimisation,  122 
schemes,  165 
criteria,  225 
assessed,  116 
met,  490 
turn,  475 
objectives,  132 
targets,  840 
answer,  500 
questions,  1115 
touch,  369 
question,  477 
love,  300 
hear,  717 
free,  1854 
post,  475 
https,  123 
street,  402 
dunedin,  263 
effect,  451 
afternoon,  126 
affairs,  691 
spokesman,  184 
simply,  718 
bring,  812 
governments,  317 
accountable,  116 
far,  1021 
violent,  167 
investigation,  197 
gun,  132 
supported,  693 
reason,  361 
hasn,  289 
jacinda,  476 
ardern,  606 
step,  892 
line,  855 
finally,  445 
offenders,  624 
completed,  626 
corrections,  1118 
louise,  564 
upston,  809 
sentence,  139 
requires,  352 
complete,  523 
sentences,  155 
engaging,  196 
constructive,  154 
positive,  1042 
responsibility,  596 
offending,  218 
learn,  551 
required,  803 
building,  2010 
restoration,  158 
maintenance,  147 
knowledge,  444 
gain,  313 
paid,  546 
employment,  1427 
know,  2781 
maintaining,  196 
live,  931 
contributed,  165 
parties,  608 
department,  528 
square,  157 
fishing,  277 
surrounding,  119 
green,  756 
rescue,  231 
birds,  222 
plant,  256 
native,  356 
plants,  120 
waikato,  870 
orders,  213 
managed,  540 
treasury,  400 
focused,  864 
actually,  514 
started,  413 
career,  322 
institutions,  204 
room,  240 
particularly,  964 
fewer,  547 
court,  608 
dependent,  182 
household,  230 
sole,  119 
rest,  408 
fact,  668 
books,  227 
deficits,  131 
near,  351 
balance,  353 
tribute,  114 
managers,  130 
reoffending,  139 
percent,  398 
leave,  514 
prison,  637 
improvement,  270 
ncea,  246 
level,  1780 
reach,  461 
milestone,  134 
increases,  514 
pasifika,  205 
spend,  734 
childhood,  488 
households,  461 
risk,  2060 
achieving,  362 
group,  1740 
expect,  590 
average,  808 
scope,  105 
innovation,  1226 
efficiency,  173 
loss,  353 
human,  260 
potential,  1214 
willing,  142 
lead,  816 
save,  522 
money,  1818 
goal,  442 
shift,  192 
isn,  648 
meaningful,  172 
preventing,  147 
multiple,  214 
problems,  478 
different,  827 
productivity,  441 
commission,  657 
tuesday,  205 
highlighted,  172 
particular,  578 
departments,  139 
circumstances,  219 
little,  940 
effective,  778 
considerable,  165 
problem,  629 
useful,  135 
core,  423 
feedback,  618 
understanding,  489 
effectiveness,  125 
account,  694 
works,  547 
principles,  225 
customers,  173 
choose,  209 
sustained,  120 
require,  467 
interventions,  133 
specific,  338 
locally,  217 
outside,  364 
extremely,  279 
carry,  189 
solutions,  480 
reduced,  338 
analysis,  272 
