word,count
mps,  0.038 
greater,  0.066 
protection,  0.032 
whangarei,  0.017 
passed,  0.025 
reading,  0.026 
wednesday,  0.01 
contribute,  0.02 
conservation,  0.07 
initiatives,  0.051 
environment,  0.101 
list,  0.047 
alfred,  0.01 
ngaro,  0.013 
starts,  0.005 
tomorrow,  0.019 
enables,  0.011 
recently,  0.061 
meeting,  0.07 
discuss,  0.019 
order,  0.045 
families,  0.143 
shop,  0.006 
hours,  0.036 
amendment,  0.032 
committee,  0.082 
taken,  0.041 
debate,  0.017 
august,  0.019 
whanganui,  0.017 
region,  0.117 
games,  0.009 
attention,  0.011 
test,  0.018 
strength,  0.012 
school,  0.192 
funded,  0.031 
trial,  0.011 
innovative,  0.036 
teaching,  0.028 
approaches,  0.009 
wait,  0.015 
youth,  0.078 
award,  0.02 
mitchell,  0.018 
night,  0.016 
delighted,  0.018 
recognised,  0.017 
went,  0.015 
colleagues,  0.016 
kelvin,  0.015 
davis,  0.019 
heads,  0.006 
poor,  0.02 
decision,  0.085 
credit,  0.018 
stable,  0.012 
outlook,  0.01 
reflects,  0.013 
english,  0.037 
royal,  0.011 
cambridge,  0.014 
attend,  0.022 
battle,  0.011 
commemorations,  0.006 
october,  0.028 
representing,  0.007 
queen,  0.006 
joined,  0.014 
behalf,  0.014 
king,  0.018 
story,  0.015 
greatest,  0.011 
disaster,  0.012 
military,  0.009 
history,  0.032 
men,  0.019 
lives,  0.087 
single,  0.028 
combat,  0.005 
involving,  0.008 
century,  0.01 
later,  0.029 
remember,  0.015 
fought,  0.006 
died,  0.005 
nation,  0.025 
provides,  0.049 
events,  0.048 
nations,  0.018 
represented,  0.009 
speaker,  0.016 
house,  0.058 
carter,  0.006 
represent,  0.016 
share,  0.049 
comment,  0.006 
email,  0.03 
papamoa,  0.005 
electorate,  0.08 
office,  0.057 
closing,  0.006 
friday,  0.018 
monday,  0.016 
january,  0.015 
mistake,  0.006 
goes,  0.015 
prove,  0.007 
fit,  0.02 
manage,  0.031 
covid,  0.11 
michael,  0.042 
woodhouse,  0.042 
reports,  0.025 
morning,  0.029 
personal,  0.049 
details,  0.042 
identity,  0.009 
active,  0.018 
failing,  0.018 
incompetent,  0.013 
unacceptable,  0.01 
suffering,  0.008 
incredibly,  0.018 
dangerous,  0.013 
virus,  0.01 
beginning,  0.013 
epidemic,  0.007 
couldn,  0.006 
simple,  0.013 
task,  0.007 
keeping,  0.032 
shambolic,  0.005 
wellington,  0.091 
heavy,  0.011 
licence,  0.007 
clubs,  0.006 
club,  0.011 
concerning,  0.012 
soon,  0.025 
thing,  0.025 
past,  0.073 
tough,  0.016 
dealing,  0.012 
crime,  0.055 
targeting,  0.006 
sports,  0.014 
tackle,  0.011 
understand,  0.046 
internal,  0.005 
research,  0.077 
zero,  0.011 
sale,  0.007 
sense,  0.025 
instead,  0.038 
ban,  0.013 
incidents,  0.008 
coalition,  0.03 
commit,  0.014 
organised,  0.009 
meant,  0.011 
places,  0.031 
island,  0.048 
respected,  0.006 
communities,  0.162 
allow,  0.051 
responsible,  0.034 
serving,  0.01 
enjoyed,  0.017 
visit,  0.049 
roskill,  0.01 
students,  0.115 
parents,  0.057 
enjoying,  0.005 
space,  0.021 
principal,  0.007 
exciting,  0.019 
speak,  0.015 
opening,  0.03 
class,  0.031 
promises,  0.028 
favour,  0.008 
board,  0.075 
chair,  0.046 
julie,  0.012 
accepted,  0.008 
attending,  0.013 
guest,  0.005 
honour,  0.012 
john,  0.024 
key,  0.091 
cut,  0.019 
evening,  0.008 
state,  0.087 
hosted,  0.011 
president,  0.018 
india,  0.012 
indian,  0.007 
loved,  0.009 
hosting,  0.012 
teachers,  0.06 
hon,  0.034 
pleasure,  0.012 
justice,  0.063 
forum,  0.025 
residents,  0.055 
fun,  0.007 
cultural,  0.018 
festival,  0.009 
celebrated,  0.006 
livelihoods,  0.006 
pandemic,  0.007 
large,  0.048 
pushed,  0.006 
control,  0.047 
debt,  0.046 
understands,  0.007 
prioritise,  0.009 
lifting,  0.011 
achievement,  0.034 
background,  0.011 
ability,  0.034 
learning,  0.088 
child,  0.057 
life,  0.078 
thousand,  0.007 
period,  0.034 
biggest,  0.033 
upper,  0.012 
north,  0.077 
left,  0.034 
submission,  0.007 
proposals,  0.044 
fisheries,  0.011 
meetings,  0.03 
recreational,  0.013 
commercial,  0.026 
submissions,  0.017 
close,  0.042 
send,  0.014 
thoughts,  0.009 
strategic,  0.016 
responsive,  0.005 
changes,  0.119 
outlined,  0.01 
integrated,  0.018 
electronic,  0.008 
reporting,  0.015 
cameras,  0.005 
flexibility,  0.009 
technologies,  0.022 
leading,  0.026 
looking,  0.063 
ways,  0.034 
challenges,  0.051 
valuable,  0.021 
document,  0.03 
http,  0.011 
kuriger,  0.022 
kids,  0.033 
taranaki,  0.05 
shared,  0.024 
practices,  0.022 
expertise,  0.016 
goals,  0.011 
educational,  0.016 
outcomes,  0.039 
classroom,  0.008 
smaller,  0.012 
enhanced,  0.006 
aim,  0.014 
success,  0.046 
barbara,  0.017 
student,  0.033 
led,  0.074 
evidence,  0.032 
factors,  0.009 
sharing,  0.019 
focusing,  0.009 
performance,  0.03 
formed,  0.006 
standing,  0.014 
firm,  0.007 
vulnerable,  0.048 
believe,  0.049 
lot,  0.037 
speaking,  0.008 
voted,  0.011 
effort,  0.017 
safer,  0.03 
concerned,  0.025 
process,  0.089 
