word,count
received,  0.033 
directly,  0.016 
virus,  0.01 
self,  0.013 
unable,  0.014 
winter,  0.019 
energy,  0.058 
payment,  0.039 
late,  0.019 
groups,  0.033 
essential,  0.025 
reserve,  0.054 
bank,  0.07 
banks,  0.025 
agreed,  0.018 
mortgage,  0.014 
individuals,  0.021 
renters,  0.01 
difficult,  0.019 
rent,  0.021 
cause,  0.017 
period,  0.027 
worst,  0.016 
dollars,  0.05 
testing,  0.011 
dedicated,  0.014 
nearly,  0.036 
contact,  0.013 
matter,  0.031 
rate,  0.068 
apply,  0.019 
wages,  0.049 
size,  0.012 
annual,  0.027 
carry,  0.012 
credit,  0.015 
loss,  0.022 
obligations,  0.016 
measures,  0.034 
tenants,  0.019 
landlords,  0.016 
available,  0.048 
test,  0.024 
try,  0.013 
tackle,  0.037 
blow,  0.018 
affordability,  0.011 
accommodation,  0.015 
donation,  0.015 
frequently,  0.012 
asked,  0.043 
records,  0.018 
donors,  0.011 
disclosure,  0.013 
electoral,  0.019 
citizen,  0.023 
voter,  0.013 
donate,  0.022 
publicly,  0.032 
disclosed,  0.021 
donated,  0.011 
note,  0.014 
parties,  0.047 
exceeding,  0.01 
registered,  0.019 
deductible,  0.01 
refunds,  0.013 
provided,  0.039 
remain,  0.022 
maori,  0.086 
kelvin,  0.039 
davis,  0.039 
trying,  0.03 
project,  0.041 
set,  0.096 
goff,  0.023 
dangerous,  0.014 
agree,  0.012 
bit,  0.017 
thinking,  0.017 
aside,  0.014 
instead,  0.056 
playing,  0.018 
developments,  0.015 
kiwisaver,  0.027 
millions,  0.024 
legacy,  0.017 
money,  0.11 
auditor,  0.021 
investigate,  0.015 
hawke,  0.015 
commitment,  0.049 
decision,  0.092 
commit,  0.015 
consultation,  0.028 
places,  0.033 
worse,  0.039 
warning,  0.016 
proposed,  0.042 
reforms,  0.029 
faith,  0.012 
negotiations,  0.027 
iain,  0.039 
lees,  0.038 
galloway,  0.038 
michael,  0.026 
raised,  0.024 
admit,  0.015 
laws,  0.028 
rāwhiti,  0.014 
ururoa,  0.016 
flavell,  0.018 
claimed,  0.016 
fees,  0.029 
rise,  0.032 
cover,  0.018 
opposition,  0.11 
called,  0.037 
seven,  0.034 
underfunding,  0.021 
appalling,  0.012 
annette,  0.063 
king,  0.067 
jonathan,  0.024 
coleman,  0.027 
meetings,  0.012 
whenua,  0.016 
tai,  0.021 
statistics,  0.033 
surgery,  0.012 
boards,  0.023 
lakes,  0.012 
south,  0.039 
whanganui,  0.013 
operations,  0.012 
cases,  0.028 
old,  0.033 
told,  0.051 
letter,  0.015 
looks,  0.015 
recent,  0.043 
otago,  0.019 
april,  0.018 
medical,  0.02 
receive,  0.023 
restore,  0.024 
highly,  0.019 
mps,  0.049 
opportunity,  0.081 
ability,  0.035 
senior,  0.022 
announce,  0.012 
crucial,  0.019 
nanaia,  0.031 
mahuta,  0.031 
members,  0.058 
head,  0.03 
corrections,  0.021 
domestic,  0.018 
sexual,  0.023 
violence,  0.043 
william,  0.029 
sio,  0.026 
island,  0.035 
cunliffe,  0.04 
tertiary,  0.058 
innovation,  0.045 
science,  0.03 
technology,  0.031 
parker,  0.045 
treaty,  0.044 
consumer,  0.016 
ethnic,  0.011 
speaker,  0.015 
parliamentary,  0.024 
ruth,  0.023 
dyson,  0.021 
conservation,  0.032 
citizens,  0.021 
food,  0.043 
commission,  0.08 
acc,  0.027 
immigration,  0.046 
clare,  0.034 
curran,  0.034 
ict,  0.018 
broadcasting,  0.02 
commerce,  0.022 
kris,  0.018 
faafoi,  0.018 
louisa,  0.012 
wall,  0.013 
rino,  0.014 
tirikatene,  0.014 
christchurch,  0.068 
henare,  0.01 
tourism,  0.028 
civil,  0.01 
emergency,  0.04 
ora,  0.024 
welcome,  0.023 
february,  0.013 
waitangi,  0.031 
nelson,  0.011 
tasman,  0.015 
included,  0.017 
potential,  0.046 
welcomed,  0.012 
speech,  0.022 
watch,  0.014 
morning,  0.023 
ministers,  0.04 
continues,  0.034 
moment,  0.014 
reflect,  0.012 
nation,  0.037 
near,  0.012 
residents,  0.018 
encouraging,  0.011 
limited,  0.015 
generations,  0.024 
fully,  0.028 
wide,  0.013 
room,  0.011 
comes,  0.044 
decade,  0.019 
delivered,  0.021 
similar,  0.013 
recently,  0.021 
trading,  0.017 
prepared,  0.018 
positive,  0.032 
run,  0.04 
fall,  0.03 
negative,  0.011 
news,  0.045 
overseas,  0.07 
light,  0.022 
voting,  0.016 
higher,  0.045 
partners,  0.012 
relationship,  0.013 
society,  0.037 
fairer,  0.018 
earning,  0.012 
released,  0.075 
starting,  0.016 
second,  0.038 
welfare,  0.017 
power,  0.042 
delivering,  0.028 
encourage,  0.021 
certainty,  0.016 
whānau,  0.037 
changing,  0.029 
total,  0.026 
provision,  0.011 
educational,  0.011 
effectively,  0.016 
student,  0.042 
army,  0.016 
earthquakes,  0.018 
happens,  0.011 
successful,  0.019 
non,  0.034 
discussion,  0.014 
held,  0.031 
poor,  0.026 
believes,  0.025 
answers,  0.017 
rising,  0.038 
highest,  0.024 
consequences,  0.012 
added,  0.012 
expert,  0.012 
criminal,  0.02 
broken,  0.014 
specialist,  0.015 
effective,  0.022 
critical,  0.042 
experts,  0.018 
cultural,  0.016 
add,  0.019 
profit,  0.02 
moved,  0.013 
individual,  0.014 
property,  0.056 
relationships,  0.017 
positions,  0.011 
organisations,  0.034 
wider,  0.023 
join,  0.028 
multiple,  0.014 
play,  0.022 
continuing,  0.021 
markets,  0.018 
provides,  0.022 
damning,  0.013 
failing,  0.025 
saying,  0.03 
fast,  0.023 
cities,  0.018 
identified,  0.014 
showed,  0.014 
ownership,  0.038 
data,  0.053 
faster,  0.016 
attempt,  0.021 
rma,  0.018 
household,  0.017 
forcing,  0.011 
garages,  0.013 
crack,  0.017 
speculators,  0.072 
bad,  0.021 
let,  0.055 
july,  0.024 
pushing,  0.013 
purchase,  0.012 
market,  0.093 
cross,  0.014 
inquiry,  0.04 
homelessness,  0.03 
homeless,  0.032 
proper,  0.015 
massive,  0.033 
direct,  0.017 
result,  0.042 
loan,  0.017 
admission,  0.012 
profits,  0.017 
cantabrians,  0.017 
issued,  0.012 
offer,  0.026 
wrong,  0.045 
eqc,  0.019 
promise,  0.034 
govt,  0.012 
failure,  0.06 
exposed,  0.015 
assessment,  0.013 
governor,  0.018 
clearly,  0.03 
forecast,  0.022 
break,  0.022 
payout,  0.011 
milk,  0.025 
inflation,  0.031 
concern,  0.024 
tough,  0.018 
dropped,  0.011 
investors,  0.03 
lending,  0.012 
buying,  0.026 
rapid,  0.012 
reputation,  0.026 
inland,  0.011 
warned,  0.018 
ird,  0.016 
shared,  0.021 
prosperity,  0.02 
follows,  0.011 
driven,  0.018 
person,  0.04 
hasn,  0.021 
admitted,  0.031 
severe,  0.011 
fonterra,  0.019 
effect,  0.026 
comments,  0.011 
wouldn,  0.012 
meant,  0.022 
options,  0.023 
absolutely,  0.011 
debate,  0.022 
actually,  0.03 
spent,  0.047 
struggle,  0.011 
rivers,  0.028 
weekend,  0.013 
hear,  0.024 
emissions,  0.041 
west,  0.028 
waste,  0.021 
